IssueID,Title,Description,Title_Description,PullRequestID,FixedByID,RepoID
7,Dynamic loading of tests,"Obviously, the current implementation is the following:
- First, the Properties which are used for TestCaseSource are asked (static or not)
- Then the methods attributed with TestFixtureSetUp are called.
- Then test startup is done
  and the test called.

It is possible to change the first two steps? The current behaviour is a problem for us. Because the property for the TestCaseSource should have some data from the database which the Connection is established in FixtureSetUp. The parameter vor the database, username, password and so on are set in the constructor of the class.

More info at https://bugs.launchpad.net/nunit-3.0/+bug/664018","Dynamic loading of tests  Obviously, the current implementation is the following:
- First, the Properties which are used for TestCaseSource are asked (static or not)
- Then the methods attributed with TestFixtureSetUp are called.
- Then test startup is",3154,ztittle,nunit
4,SimpleTestRunner miss handles point of exception,"The SimpleTestRunner performs a an odd skip of Exception processing when faced with a fully un-implemented EventListener. What happens is that my RunStarted throws an Exception and this gets caught end then RunFinished is called which then throws an exception -- the stack trace makes it look like the RunFinished was the culprit when in fact the RunStart began the exceptional behavior. This occurs mainly because the catch( Exception exception ) catches everything. Perhaps what it should do is catch NUnit exceptions and throw all other exceptions -- I'm not familiar enough with the architecture around Exception testing, Assert Exceptions, etc.

So here is the culprit code in SimpleTestRunner, Line 141, of release 2.5.5.101112.

public virtual TestResult Run( EventListener listener, ITestFilter filter )
{
 try
 {
        log.Debug(""Starting test run"");

  // Take note of the fact that we are running
  this.runThread = Thread.CurrentThread;

  listener.RunStarted( this.Test.TestName.FullName, test.CountTestCases( filter ) );

  testResult = test.Run( listener, filter );

  // Signal that we are done
  listener.RunFinished( testResult );
        log.Debug(""Test run complete"");

  // Return result array
  return testResult;
 }
 catch( Exception exception )
 {
                // RunStart actually threw the exception. so RunFinish doesn't make sense.

```
            // RunFinish then throws an exception when really the first exception should be handled first.
```

  // Signal that we finished with an exception
  listener.RunFinished( exception );
  // Rethrow - should we do this?
  throw;
 }
 finally
 {
  runThread = null;
 }
}

Cheers,
L",SimpleTestRunner miss handles point of exception  The SimpleTestRunner performs a an odd skip of Exception processing when faced with a fully un-implemented EventListener. What happens is that my RunStarted throws an Exception and this gets caught end th,3154,ztittle,nunit
1,Add Monotouch build,"Build NUnitLite using the monotouch profile. This requires a Mac.

From https://bugs.launchpad.net/nunit-3.0/+bug/1047579","Add Monotouch build  Build NUnitLite using the monotouch profile. This requires a Mac.

From https://bugs.launchpad.net/nunit-3.0/+bug/1047579",3154,ztittle,nunit
2,Data Driven TestFixture,"I have hierarchy like data-driven test cases that’s 3 levels deep.
Currently the TestFixture can only be instantiated only a constant
number of times. How can I parameterize the TestFixture based on
source input, same like the TestCaseSource attribute?

More info at https://bugs.launchpad.net/nunit-3.0/+bug/505700","Data Driven TestFixture  I have hierarchy like data-driven test cases that’s 3 levels deep.
Currently the TestFixture can only be instantiated only a constant
number of times. How can I parameterize the TestFixture based on
source input, same like the",3154,ztittle,nunit
3,Need a way to generate data when test is executed,"NUnit 2.5.2 and 2.5.3 run every method targeted by TestCaseSource, even if the test targeting it is Explicit or the test fixture is Explicit.

The behaviour I expect is: NUnit shouldn't run a test's TestCaseSource if the test itself won't be run.

Detail:

I have an expensive TestCaseSource generating a few hundred thousand permutations and combinations. I've applied Explicit to both the test targeting the source and the fixture surrounding both test and source.

NUnit console spends ten minutes needlessly constructing test cases from the TestCaseSource before ignoring them and proceeding with the non-Explicit tests.

If I throw NotImplementedException from the first line of the expensive TestCaseSource. NUnit runs the non-Explicit tests immediately. If I put a MessageBox.Show call in the first line, I see the message box.

More info at https://bugs.launchpad.net/nunit-3.0/+bug/538070","Need a way to generate data when test is executed  NUnit 2.5.2 and 2.5.3 run every method targeted by TestCaseSource, even if the test targeting it is Explicit or the test fixture is Explicit.

The behaviour I expect is: NUnit shouldn't run a test's Tes",3154,ztittle,nunit
2286,Add support for custom Task (i.e. ValueTask),"Can you add support for custom Tasks, i.e. ValueTask (new in C# 7.0).

Right now looking at Assert.ThrowsAsync.","Add support for custom Task (i.e. ValueTask)  Can you add support for custom Tasks, i.e. ValueTask (new in C# 7.0).

Right now looking at Assert.ThrowsAsync.",3095,jnm2,nunit
3023,NUnit runner fails when test method returns ValueTask<>,"**Versions**: 

Nuget packages:
NUnit 3.10.1
NUnit3TestAdapter 3.10.0
System.Threading.Tasks.Extensions 4.5.1

Environment:
Windows 10.1803 17134.286 
Visual Studio 2017 15.8.4

**Steps to Reproduce**:

1. Create C# Class Library, .NET 4.7.2
2. Add Nuget references for NUnit, NUnit3TestAdapter and System.Threading.Tasks.Extensions
3. Add Test Class:
``` csharp
using System.Threading.Tasks;
using NUnit.Framework;

namespace ClassLibrary1
{
    public class Class1
    {
        [Test(/*ExpectedResult = 100*/)]
        public async ValueTask<int> AsyncGetValueTest()
        {
            return await Task.FromResult(100);
        }
    }
}
```
4. Run test ""AsyncGetValueTest""


**Expected Behavior**:
NUnit says ""Missed ExpectedResult in Test attribute"" or ""Test methods with return type *ValueTask<>* are not supported""

**Actual Behavior**:
NUnit fails with an internal error:
System.NullReferenceException : Object reference not set to an instance of an object.
   at NUnit.Framework.Internal.AsyncInvocationRegion.AsyncTaskInvocationRegion.WaitForPendingOperationsToComplete(Object invocationResult)
  at C:\src\nunit\nunit\src\NUnitFramework\framework\Internal\AsyncInvocationRegion.cs:line 109
  at NUnit.Framework.Internal.Commands.TestMethodCommand.RunAsyncTestMethod(TestExecutionContext context)
 at C:\src\nunit\nunit\src\NUnitFramework\framework\Internal\Commands\TestMethodCommand.cs:line 96
","NUnit runner fails when test method returns ValueTask<>  **Versions**: 

Nuget packages:
NUnit 3.10.1
NUnit3TestAdapter 3.10.0
System.Threading.Tasks.Extensions 4.5.1

Environment:
Windows 10.1803 17134.286 
Visual Studio 2017 15.8.4

**Steps t",3095,jnm2,nunit
3093,Tests having TaskLike objects as their return type throws Exception,"After upgrading NUnit.3.10.1 to NUnit.3.11.0 tests which returned TaskLike objects have failed.

Message: System.InvalidOperationException: The delegate did not return a Task.

StackTrace:
AsyncToSyncAdapter.Await(Func`1 invoke)
TestMethodCommand.RunTestMethod(TestExecutionContext context)

The tests have passed before the upgrade without fail.

I looked at the code and it throws this exception if returnType FullName is Task's type name.

A TaskLike object is defined by a certain attribute which force the Task interface.
The attribute:
System.Runtime.CompilerServices.AsyncMethodBuilderAttribute

The comment in the code applies this feature is soon to come however I couldn't find an open issue about it.
I would like to know when to expect a resolution.

This issue is important because many of our tests fail due to this behaviour.","Tests having TaskLike objects as their return type throws Exception  After upgrading NUnit.3.10.1 to NUnit.3.11.0 tests which returned TaskLike objects have failed.

Message: System.InvalidOperationException: The delegate did not return a Task.

Stack",3095,jnm2,nunit
2168,ThrowsAsync reports OperationCanceledException as TaskCanceledException,"The `ThrowsAsync` method reports exceptions of type `OperationCanceledException` as `TaskCanceledException` instead.

Repro:

```
Assert.ThrowsAsync<OperationCanceledException>(async () =>
{
    await Task.Yield();
    throw new OperationCanceledException();
});
```

Result:

```
Failed : NUnitRepro.Tests.Repro
  Expected: <System.OperationCanceledException>
  But was:  <System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at NUnit.Framework.Internal.AsyncInvocationRegion.AsyncTaskInvocationRegion.WaitForPendingOperationsToComplete(Object invocationResult)
   at NUnit.Framework.Assert.ThrowsAsync(IResolveConstraint expression, AsyncTestDelegate code, String message, Object[] args)>
```

Other exception types are reported correctly. The following test passes.

```
Assert.ThrowsAsync<TimeoutException>(async () =>
{
    await Task.Yield();
    throw new TimeoutException();
});
```

I believe it's possible to workaround this issue using the ""constraint model"". The following test passes.

```
Assert.That(async () =>
{
    await Task.Yield();
    throw new OperationCanceledException();
}, Throws.InstanceOf<OperationCanceledException>());
```

I observed the issue in version 3.5.0. I updated to 3.6.1 and confirmed that the issue is still present in the latest version.

I also installed the console runner and tested from the command line as per the contributing guidelines. Test output below.

```
C:\...\NUnitRepro\NUnitRepro\bin\Debug>..\..\..\packages\NUnit.ConsoleRunner.3.6.1\tools\nunit3-console.exe NUnitRepro.exe
NUnit Console Runner 3.6.1
Copyright (C) 2017 Charlie Poole

Runtime Environment
   OS Version: Microsoft Windows NT 10.0.14393.0
  CLR Version: 4.0.30319.42000

Test Files
    NUnitRepro.exe


Errors, Failures and Warnings

1) Failed : NUnitRepro.Tests.Repro
  Expected: <System.OperationCanceledException>
  But was:  <System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at NUnit.Framework.Internal.AsyncInvocationRegion.AsyncTaskInvocationRegion.WaitForPendingOperationsToComplete(Object invocationResult)
   at NUnit.Framework.Assert.ThrowsAsync(IResolveConstraint expression, AsyncTestDelegate code, String message, Object[] args)>
at NUnitRepro.Tests.Repro() in c:\...\NUnitRepro\NUnitRepro\Tests.cs:line 16

Run Settings
    DisposeRunners: True
    WorkDirectory: C:\...\NUnitRepro\NUnitRepro\bin\Debug
    ImageRuntimeVersion: 4.0.30319
    ImageTargetFrameworkName: .NETFramework,Version=v4.6
    ImageRequiresX86: True
    RunAsX86: True
    ImageRequiresDefaultAppDomainAssemblyResolver: False
    NumberOfTestWorkers: 4

Test Run Summary
  Overall result: Failed
  Test Count: 3, Passed: 2, Failed: 1, Warnings: 0, Inconclusive: 0, Skipped: 0
    Failed Tests - Failures: 1, Errors: 0, Invalid: 0
  Start time: 2017-05-15 15:43:50Z
    End time: 2017-05-15 15:43:50Z
    Duration: 0.564 seconds

Results (nunit3) saved as TestResult.xml
```","ThrowsAsync reports OperationCanceledException as TaskCanceledException  The `ThrowsAsync` method reports exceptions of type `OperationCanceledException` as `TaskCanceledException` instead.

Repro:

```
Assert.ThrowsAsync<OperationCanceledException>(",3095,jnm2,nunit
3222,Our build script tests hang when run with Mono on Windows,"When I run the equivalent of test45 using Mono 5.20 on Windows just like we do on Linux, the test run hangs consistently. It looks similar to what we've seen intermittently in CI.

Steps to reproduce from a PowerShell prompt on Windows:

- `choco install mono -y` if you don't have it already

- `.\build.ps1 -t build`

- ```
  &""C:\Program Files\Mono\bin\mono.exe"" `
    tools/NUnit.ConsoleRunner.3.9.0/tools/nunit3-console.exe `
    bin/Release/net45/nunit.framework.tests.dll `
    --result=test-results/net45/nunit.framework.tests.xml `
    --process=InProcess
  ```

The test run has never completed for me.","Our build script tests hang when run with Mono on Windows   When I run the equivalent of test45 using Mono 5.20 on Windows just like we do on Linux, the test run hangs consistently. It looks similar to what we've seen intermittently in CI.

Steps to rep",3095,jnm2,nunit
3045,XSD Schemas missing from the ZIP Package,"I am running the tests for the 3.11 release. When running the tests from the ZIP file produced as part of packaging, the .NET 4.5 tests are failing because the XSD schema files are not included in the ZIP file. **I am fixing this as part of the release, just entering this issue to track the fix.**

Here is one error;

```
1) Error : NUnit.Framework.Api.SchemaTests.MultipleTestsAreAllowedInsideTestRun
System.IO.DirectoryNotFoundException : Could not find a part of the path 'C:\tmp\bin\net45\Schemas\TestResult.xsd'.
   at System.IO.__Error.WinIOError(Int32 errorCode, String maybeFullPath)
   at System.IO.FileStream.Init(String path, FileMode mode, FileAccess access, Int32 rights, Boolean useRights, FileShare share, Int32 bufferSize, FileOptions options, SECURITY_ATTRIBUTES secAttrs, String msgPath, Boolean bFromProxy, Boolean useLongPath, Boolean checkHost)
   at System.IO.FileStream..ctor(String path, FileMode mode, FileAccess access, FileShare share)
   at NUnit.TestUtilities.SchemaTestUtils.AssertValidXsd(String schemaFile)
   at NUnit.TestUtilities.SchemaTestUtils.RunValidation(String xml, String schemaFileName, ValidationEventHandler validationHandler)
   at NUnit.Framework.Assert.Multiple(TestDelegate testDelegate) in C:\src\nunit\nunit\src\NUnitFramework\framework\Assert.cs:line 323
```

I also noticed that the `netcoreapp1.1` and `netcoreapp2.0` directories are not in the ZIP.","XSD Schemas missing from the ZIP Package  I am running the tests for the 3.11 release. When running the tests from the ZIP file produced as part of packaging, the .NET 4.5 tests are failing because the XSD schema files are not included in the ZIP file. **",3046,rprouse,nunit
2960,Planning for 3.11 Release,"We are past due for a 3.11 release. I went through the issues and cleaned up. We only have 33 completed issues so far for 3.11, so I don't think there is a huge rush, so I was thinking mid to late September for a release. @nunit/framework-team if there is anything you are working on or planning on working on that you would like to see in 3.11, please add to the milestone. I removed a couple of long running issues/PRs from the milestone. If work is ongoing and you'd like to get them in, feel free to re-add.","Planning for 3.11 Release  We are past due for a 3.11 release. I went through the issues and cleaned up. We only have 33 completed issues so far for 3.11, so I don't think there is a huge rush, so I was thinking mid to late September for a release. @nunit",3046,rprouse,nunit
2994,Error in .NET Standard 1.4 DictionaryContainsKeyConstraint MetadataToken compatibility methods,"@oznetmaster identified issues with the two `Matched()` methods added by https://github.com/nunit/nunit/pull/2967 - where `return true` looks like it should be `return false`. See https://github.com/nunit/nunit/commit/feb226fe9180b07b6c348bcb30f6e745ec5850da#r30332971

This initially looks like a mistake - it would be good to verify that, and also work out why the tests passed on CI, and on my local machine, but not for @oznetmaster. (And of course, if we can write a test to fill whatever the gap is!)",Error in .NET Standard 1.4 DictionaryContainsKeyConstraint MetadataToken compatibility methods  @oznetmaster identified issues with the two `Matched()` methods added by https://github.com/nunit/nunit/pull/2967 - where `return true` looks like it should be,3000,DaiMichael,nunit
2963,Flakey tests in FrameworkControllerTests,"Several tests in FrameworkControllerTests have recently failed in a flaky manner on the CI builds. We need to look into why that is, and make a fix.

The failures don't appear to be platform-specific, here are a few sample failure messages:

```
Errors, Failures and Warnings
1) Failed : NUnit.Framework.Api.FrameworkControllerTests.RunTestsAction_AfterLoad_ReturnsRunnableSuite(""<filter/>"")
  Expected: not null and String starting with ""ID""
  But was:  ""8601""
  at NUnit.Framework.Api.FrameworkControllerTests.RunTestsAction_AfterLoad_ReturnsRunnableSuite (System.String filter) [0x00000] in <1df9fb68b85648378ea6dd2e640b0ed4>:0 
```
```
1) Failed : NUnit.Framework.Api.FrameworkControllerTests.ExploreTestsAction_FilterCategory_ReturnsTests
  Expected: not null and String starting with ""ID""
  But was:  ""7680""
   at NUnit.Framework.Api.FrameworkControllerTests.ExploreTestsAction_FilterCategory_ReturnsTests() in /home/travis/build/nunit/nunit/src/NUnitFramework/tests/Api/FrameworkControllerTests.cs:line 316
```
```
1) Failed : NUnit.Framework.Api.FrameworkControllerTests.RunTestsAction_AfterLoad_ReturnsRunnableSuite(""<filter/>"")
  Expected: not null and String starting with ""ID""
  But was:  ""8508""
  at NUnit.Framework.Api.FrameworkControllerTests.RunTestsAction_AfterLoad_ReturnsRunnableSuite (System.String filter) [0x00000] in <9278af9c5d3e455d8858b76816878cf6>:0 
```

As always, contributions welcome!","Flakey tests in FrameworkControllerTests   Several tests in FrameworkControllerTests have recently failed in a flaky manner on the CI builds. We need to look into why that is, and make a fix.

The failures don't appear to be platform-specific, here are",2993,jnm2,nunit
2986,Quick fix for test instability around Test.IdPrefix,"As noted in #2963 , some tests in the solution are changing `Test.IdPrefix` to a value that's not expected by other tests, causing intermittent test failures, due to the fact that `IdPrefix` is a static field.  As a quick fix, we should go through all tests that set `IdPrefix` to a invalid value and revert to its original value on test teardown.","Quick fix for test instability around Test.IdPrefix  As noted in #2963 , some tests in the solution are changing `Test.IdPrefix` to a value that's not expected by other tests, causing intermittent test failures, due to the fact that `IdPrefix` is a static",2993,jnm2,nunit
1200,async test + Apartment(ApartmentState.STA) => await not returning on STA thread,"There is the old post on SO: 
http://stackoverflow.com/questions/18838116/nunit-async-test-requiressta-await-not-returning-on-sta-thread
It seems like this issue has been there long time ago, but we faced it only after upgrading to NUnit 3.0.1.

We have tests that use async/await with Apartment(ApartmentState.STA) and before the upgrade to NUnit 3.0.1 they used to work, but after the upgrade they fail because WPF components don't run on STA thread after await statement.","async test + Apartment(ApartmentState.STA) => await not returning on STA thread  There is the old post on SO: 
http://stackoverflow.com/questions/18838116/nunit-async-test-requiressta-await-not-returning-on-sta-thread
It seems like this issue has been t",2818,jnm2,nunit
2774,SynchronizationContexts and awaiting,"Going for a high-level view. I've been talking about finishing off the async PR for too long. I'm going to spend some time in airports/planes tomorrow and do a fresh spike. The PRs can be small and incremental, tackling a section at a time.

I'll be eager for any @nunit/framework-team comments on any part, though I know this is not most people's favorite thought experiment. 🙃 If you get a chance, please especially glance at the ❔s.

### Specially-recognized synchronization contexts

If `SynchronizationContext.Current` is an instance of `WindowsFormsSynchronizationContext` (Windows Forms control has been created) or `DispatcherSynchronizationContext` (WPF), NUnit should not call `.Wait()` on async methods or delegates or there will be a guaranteed deadlock. This is https://github.com/nunit/nunit/issues/2123. Sam ran into this a couple days ago. I've been making my test methods non-async and using [this workaround](https://gist.github.com/jnm2/4643df73fdda0efe1df3a03ad0188c46) for a long time.

### Default synchronization contexts

If `SynchronizationContext.Current` is null or an instance of `SynchronizationContext`, and the current apartment state is STA, we should install our own [`SingleThreadedSynchronizationContext`](https://github.com/nunit/nunit/issues/1200#issuecomment-312120851). Otherwise, awaits will continue on non-STA threads. This is https://github.com/nunit/nunit/issues/1200.

❔ Should we consider always installing a `SingleThreadedSynchronizationContext` so that all awaits in test methods and delegates keep continuing on the original thread, even if it isn't STA? If people don't like this, they can use `.ConfigureAwait(false)`. (You do have a habit of using that, right? 😉)

### Custom synchronization contexts

❔ Should we create a framework extension point so that people can override the waiting logic with custom code? Say, for example, some custom native message loop like certain DirectX libraries ship?
Probably not unless asked, but we would want to do this internally to some extent and make our four SynchronizationContext strategies pluggable.

### Fallthrough

In all other cases, we have no option but to block-wait. If continuations need to be pumped, there's no way NUnit can pump them and the tests will deadlock. If on the other hand they are scheduled on threadpool threads, they'll execute off-thread and finally complete the async task. This is what we currently do in all cases.

### Fallthrough—awaitable spec

This is https://github.com/nunit/nunit/issues/2286.

❕ Instead of `.Wait()`, we should be using `.GetAwaiter()`, checking `awaiter.IsCompleted`, then creating a ManualResetEventSlim, passing its Set method to `awaiter.UnsafeOnCompleted` if it implements ICriticalNotifyCompletion and `awaiter.OnCompleted` otherwise, and block-waiting on it. Finally, we call `awaiter.GetResult()`. (This is straight from the C# 5 spec and has not changed since.)

If the awaitable object's type is known to be `System.Threading.Tasks.Task`, we can use its internal shared ManualResetEventSlim by skipping the IsCompleted and OnCompleted parts of the protocol and going directly to `GetResult()`. This optimization is only valid on `System.Threading.Tasks.Task` since awaiters in general are not contractually obliged to block-wait in GetResult.

**Benefits:**

 - Exception and cancellation handling are higher-fidelity with the awaitable API than with the TPL API. For example, `Task.Wait()` unconditionally wraps the exception in AggregateException.
 - We light up support for `ValueTask` and any other awaitable type besides `Task`.


","SynchronizationContexts and awaiting  Going for a high-level view. I've been talking about finishing off the async PR for too long. I'm going to spend some time in airports/planes tomorrow and do a fresh spike. The PRs can be small and incremental, tackli",2818,jnm2,nunit
