IssueID,Title,Title_Description,FixedByID,PullRequestID
12996,SemanticModel is unable to infer type of a 'var' pattern variable,"SemanticModel is unable to infer type of a 'var' pattern variable ```
        [Fact]
        public void FailureToInferTypeOfAVarPatternVariable()
        {
            var source =
@""
class Program
{
    public static void Main(string[] args)",gafter,13274
13009,Diagnose possible issues with type inference for pattern-matching,"Diagnose possible issues with type inference for pattern-matching The following (in `SourceLocalSymbol.cs`) shows that some assertions were disabled when pattern-matching was added. This should be investigated to ensure there isn't a latent bug hiding.
",gafter,13274
13099,CodeStyle -> General and Naming Styles do not support Narrator,"CodeStyle -> General and Naming Styles do not support Narrator Windows Narrator reads the name of the view model type if you highlight one of these combo boxes.

![image](https://cloud.githubusercontent.com/assets/3751401/17602243/a4ef8d94-5fc0-11e6-947",dpoeschl,16380
13159,PlaceholderLocalRewriter is unable to handle Declaration Pattern,"PlaceholderLocalRewriter is unable to handle Declaration Pattern I will submit a unit-test shortly.
Because the rewriter doesn't apply appropriate transformation to the BoundDeclarationPattern node, later phases fail with the following exception:

```",AlekseyTs,13183
13219,out variable declarations do not work in index arguments,"out variable declarations do not work in index arguments `out var` does not work today in index arguments. This can arise in a number of supported scenarios
- COM interop
- indexed property (e.g. VB interop)
- out parameter to an indexer in metadata
-",gafter,13274
13579,CodeStyle Tools Options window : improve keyboard navigation,"CodeStyle Tools Options window : improve keyboard navigation 1. Have to tab twice to select severity/preference
2. should show drop down on some key (space ?)",dpoeschl,16380
13759,Unnecessarily lifted field in async state machine,"Unnecessarily lifted field in async state machine **Version Used**: 
2.0.0.60620

**Steps to Reproduce**:
Compile this code:

``` C#
using System.IO;
using System.Threading.Tasks;

class Program
{
    public static void Main() { }

    publi",gafter,23930
14260,Port https://github.com/dotnet/roslyn/pull/14161 to VB,"Port https://github.com/dotnet/roslyn/pull/14161 to VB Fixes: #10891 - Forbid constructing tuples via ""new""
Fixes: #11689 - Enforce that ValueTuple types are structs

We need exactly same solutions for VB",VSadov,14518
14337,Add support for /instrument codecoverage for new language features,"Add support for /instrument codecoverage for new language features @JohnHamby mentioned that it does not work for all new C# language features.",gafter,14535
14437,Enable setting a breakpoint in a local function,"Enable setting a breakpoint in a local function We should implement and add tests for setting a breakpoint in a local function. For example, if you set one on the line defining the local function, it should create the breakpoint in the _body_ of the local",gafter,14535
14438,Sequence points and breakpoints for expression-bodied members,"Sequence points and breakpoints for expression-bodied members We should add tests (and implementation if needed) so that breakpoints can be added in an expression-bodied ctor, dtor, property accessor, or event accessor.

See #14426 for some recent work",gafter,14535
14439,Sequence points and breakpoints for deconstruction foreach statement,"Sequence points and breakpoints for deconstruction foreach statement We should add tests and implementation, if necessary, so that breakpoints can be set in a deconstruction foreach statement.

See #14426 for some recent work in this area that may be a",gafter,14535
14504,Catch exceptions closer to tree serialization,"Catch exceptions closer to tree serialization When SyntaxTree serialization fails the watsons often capture call stacks too far removed from the actual error due to async.   We should capture these failures closer to the actual error.",mattwar,14521
14506,Catch exceptions closer to tree serialization,"Catch exceptions closer to tree serialization Fixes #14504 

Adds watson checks when SyntaxTrees are serialized and deserialized. This should help find problems in serialization, so the dumps have better information for tracking down the problems.

@j",mattwar,14521
14519,Port breakpoint PR for pattern switch to RC,"Port breakpoint PR for pattern switch to RC This commit

https://github.com/dotnet/roslyn/commit/5602a0a7d68871963025372ad5f69f040a462609

should be ported to RC so breakpoints can be set in the when clause of a pattern switch.",gafter,14535
15326,"Naming style ""require uppercase"" doesn't allow numerics or non-Latin characters","Naming style ""require uppercase"" doesn't allow numerics or non-Latin characters From: https://developercommunity.visualstudio.com/content/problem/2440/uppercase-naming-with-number.html

```C#
internal enum ButtonState : uint
{
    FROM_LEFT_1ST_BUTTO",dpoeschl,16597
15345,Naming rules fire on overrides,"Naming rules fire on overrides The naming rules are firing on overrides - instead, it should be firing on the original declaration, the override cannot do anything about the name.

Like we did in FxCop you should also watch out for:

1. C# Implicit in",dpoeschl,16409
15486,The naming rule violation is inadequate for non-Latin languages,"The naming rule violation is inadequate for non-Latin languages **Version Used**: 

Visual Studio 2017 RC

**Steps to Reproduce**:

1. Use Japanese characters for identifiers

**Expected Behavior**:

There is no message.

**Actual Behavior**:",dpoeschl,16597
15508,IDE extract method fails to handle some deconstruction scenarios.,"IDE extract method fails to handle some deconstruction scenarios. The IDE code is not resilient against arbitrary expressions appearing on the left-hand-side of a deconstruction. It tries to produce a zero-element tuple type, which causes an exception to",mkrtich-m,18489
15536,Bad codegen in call-forward to local function in different switch block,"Bad codegen in call-forward to local function in different switch block From #15322:

```csharp
class Program
{
    static void Main(string[] args)
    {
        object o = null;
        switch (o)
        {
            case string x:",AlekseyTs,16593
15788,NamingStyleCodeFixProvider crashes on const readonly,"NamingStyleCodeFixProvider crashes on const readonly Obviously not a normal scenario, but for the moment that I had `const readonly`, the naming style code fix provider crashed. Possibly related rules (in precedence order):
(Private|Protected) Static Rea",dpoeschl,16589
16066,Pattern matching crashes if lambda captures pattern variable,"Pattern matching crashes if lambda captures pattern variable **Version Used**: 
Microsoft Visual Studio Enterprise 2017 RC
Version 15.0.26014.0 D15REL
Microsoft .NET Framework
Version 4.6.01055

**Steps to Reproduce**:
Run the following app:

```",AlekseyTs,16593
16106,False error CS0170: Use of possibly unassigned field 'Item1',"False error CS0170: Use of possibly unassigned field 'Item1' ```
public class MyClass
{
    public void Test4(IEnumerable<((int, int), string)> en)
    {
        foreach ((ValueTuple<int,int> t, string s) in en)
        {
            var a =t.Item1",tannergooding,16407
16167,VS crashes if xml is pasted in C# editor,"VS crashes if xml is pasted in C# editor **Version Used**: 

**Steps to Reproduce**:

1. create new C# console app
2. paste text below as a body of `Main`
```xml
      <summary>Copies a range of elements from an <see cref=""T:System.Array"" /> starti",gafter,16467
16296,ArgumentNullException binding a pattern switch,"ArgumentNullException binding a pattern switch When running some custom static code analysis on Roslyn.sln, I get an ""Unknown hard error"". In the Windows EventViewer, I find the following error:
```
Application: csc.exe
Framework Version: v4.0.30319
D",gafter,16569
16306,Inline Declaration refactoring on out parameter crashes IDE,"Inline Declaration refactoring on out parameter crashes IDE Start with the following code:

```c#
using System;
using System.Collections.Generic;

class C
{
    void Foo()
    {
        int rowCountMember;
        var item = """";
        int ro",AlekseyTs,18662
16315,Expression variables declared in a local function parameter default are given a scope,"Expression variables declared in a local function parameter default are given a scope **Customer scenario**

If you declare an expression variable (e.g. out variable) inside the default value
expression of a parameter to a local function, the IDE crash",gafter,16467
16431,Naming Styles can be completely broken by adding multiple specifications,"Naming Styles can be completely broken by adding multiple specifications To the point where the option page won't even load.

Rough repro steps:
1. Add two symbol specifications
2. Create two rules, that use the two symbol specifications
3. Save the",dpoeschl,16586
16513,The semantic of constant pattern,"The semantic of constant pattern I propose to change the semantic of constant pattern match from current:
```c#
foo is 42 /* == */ object.Equals(foo, 42)
```
…to the opposite:
```c#
foo is 42 /* == */ object.Equals(42, foo)
```

And this is how `",gafter,16592
16559,Stack Overflow in BindPatternSwitchLabelForInference,"Stack Overflow in BindPatternSwitchLabelForInference **Version Used**: VS2015 RC3

**Steps to Reproduce**:

Attempt to compile this code:

```cs
public class Program5815
{
    public static void Main(string[] args)
    {
        switch ((int)M(",gafter,16569
16588,NamingStyleCodeFixProvider should always be able to find the symbol that generated the diagnostic,"NamingStyleCodeFixProvider should always be able to find the symbol that generated the diagnostic As an example of where it cannot, see https://github.com/dotnet/roslyn/issues/15788",dpoeschl,16589
16681,"Documentation comment is indented on ""Suppress ... in Source""","Documentation comment is indented on ""Suppress ... in Source"" **Version Used**: Visual Studio 2017 RC 15.0.26020.0

**Code to Reproduce**:
```csharp
    /// <summary>
    /// 
    /// </summary>
    /// <returns></returns>
    public static async",sharwell,38906
16798,Tree perf all work,"Tree perf all work **Customer scenario**

RPS perf violation.  This wins us back around 0.5s (~60%) of a time regression in opening a winforms app.

**Bugs this fixes:** 

https://devdiv.visualstudio.com/DevDiv/_workitems?id=366104&triage=true&_a=ed",sharwell,20171
16879,RC 26127.3: Debugger broken when using tuples,"RC 26127.3: Debugger broken when using tuples **Version Used**: 26127.3

**Steps to Reproduce**:

1.  Place a breakpoint at the ending brace of the Main method bellow:
```
    class Program
    {
        static void Main(string[] args)
        {",cston,18552
1710,HostAnalyzerManager.GetAnalyzerReferenceId should generate a unique ID,"HostAnalyzerManager.GetAnalyzerReferenceId should generate a unique ID See: http://source.roslyn.io/Microsoft.CodeAnalysis.Features/R/a1c94dbeedc15fae.html

This method uses Display as the analyzer reference ID, which is incorrect as that can return jus",RikkiGibson,34712
17165,ExtractMethodMatrix.GetVariableStyle Throws exception on code with errors,"ExtractMethodMatrix.GetVariableStyle Throws exception on code with errors **Version Used**: 
![image](https://cloud.githubusercontent.com/assets/9797472/22995888/8293500a-f381-11e6-923e-4d241adef2f9.png)

**Steps to Reproduce**:

1.  Use Alt+Arrow to",agocke,20004
17474,InvalidCastException at Microsoft.CodeAnalysis.CSharp.ExtractMethod.CSharpSelectionResult.StatementResult.GetContainingScopeType,"InvalidCastException at Microsoft.CodeAnalysis.CSharp.ExtractMethod.CSharpSelectionResult.StatementResult.GetContainingScopeType **Version Used**: 
D15Rel 26226.0

**Steps to Reproduce**:
1. Restore, build and open Roslyn.sln
2. Open source file: `\s",sharwell,19945
1763,Don't trigger completion within numeric literals,"Don't trigger completion within numeric literals Or, in VB, date literals. Fixes #1736 

May be interested: @brettfo @jasonmalinowski @Pilchie @dpoeschl @basoundr @balajikris ",balajikris,8184
18295,[Flaky Test] Roslyn.VisualStudio.IntegrationTests.CSharp.CSharpCodeActions.GenerateMethodInClosedFile,[Flaky Test] Roslyn.VisualStudio.IntegrationTests.CSharp.CSharpCodeActions.GenerateMethodInClosedFile https://ci.dot.net/job/dotnet_roslyn/job/master/job/windows_release_vs-integration/633/testReport/junit/Roslyn.VisualStudio.IntegrationTests.CSharp/CShar,333fred,18605
18311,Incorrect quick info for ValueTuple<T>,"Incorrect quick info for ValueTuple<T> **Version Used**: VS 2017 (15.0.0+26228.9)

**Steps to Reproduce**:

1. Use the following code:

    ```csharp
    void Foo()
    {
        var y = ValueTuple.Create(1);
    }
    ```

2. Hover over `var",mkrtich-m,18489
18347,ExtractMethodCodeRefactoringProvider crashes on selecting a line that references an argument captured by a local method,"ExtractMethodCodeRefactoringProvider crashes on selecting a line that references an argument captured by a local method **Version Used**: 

Microsoft Visual Studio Community 2017
Version 15.0.26228.9

**Steps to Reproduce**:

```csharp
namespace E",agocke,20004
18443,Accessibility: Narrator says control type twice in the navigation bar,"Accessibility: Narrator says control type twice in the navigation bar  Copied from [VSO tracker](https://devdiv.visualstudio.com/DevDiv/_workitems/edit/394818)

**Version Used**: master

**Steps to Reproduce**:

1. Launch Visual Studio
2. Create a",AmadeusW,18444
18549,`IHasArgumentsExpression.ArgumentsInEvaluationOrder` in C# should not use private implementation,"`IHasArgumentsExpression.ArgumentsInEvaluationOrder` in C# should not use private implementation Currently, there is a lot of logic duplicated in C#'s implementation and there is a lot of opportunities to deviate from what LocalRewriter is doing. I believ",genlu,18494
18550,`WasCompilerGenerated` property on bound node is not a robust way to determine `ArgumentKind` in VB,"`WasCompilerGenerated` property on bound node is not a robust way to determine `ArgumentKind` in VB The implementation in VB bound tree provides a fully populated list of arguments, including arguments with default value and array that is generated by com",genlu,18494
18602,Broken Tests: CSharp/VB DeleteControl,"Broken Tests: CSharp/VB DeleteControl Tests:
Roslyn.VisualStudio.IntegrationTests.CSharp.CSharpWinForms.DeleteControl
Stack:
```
    Roslyn.VisualStudio.IntegrationTests.CSharp.CSharpWinForms.DeleteControl
      System.NullReferenceException : Object",333fred,18605
18658,Implement GetArgumentMatchingParameter and ArgumentsInParameterOrder as extension methods,"Implement GetArgumentMatchingParameter and ArgumentsInParameterOrder as extension methods Those are removed from core `IHasArgumentsExpression` interface, based on the latest interface design. Will likely bring them back as extension methods instead, once",genlu,18494
188,Proposal: Add completeness checking to pattern matching draft specification,"Proposal: Add completeness checking to pattern matching draft specification # Background

As noted in issue #180, many modern programming programs are data-focused, especially distributed applications which tend to store, manipulate, and move sets of da",gafter,4882
19033,Compiler crash,"Compiler crash **Any version below apr 17**: 

```csharp
using System;

namespace ConsoleApp3
{
    class BC { }
    class DC1 : BC { }
    class DC2 : BC { }
    class Program
    {
        static void Main(string[] args)
        {",agocke,21367
19136,ExtractMethodCodeRefactoringProvider crashed with InvalidOperationException,"ExtractMethodCodeRefactoringProvider crashed with InvalidOperationException VS Build: 26426.1 VSUWPT

Note same code that crashed: https://github.com/dotnet/roslyn/issues/19135.

``` C#
// Copyright (c) Microsoft.  All Rights Reserved.  Licensed unde",sharwell,19945
19530,CSharpNavigateTo.NavigateTo is flakey.,"CSharpNavigateTo.NavigateTo is flakey. https://ci.dot.net/job/dotnet_roslyn/job/master/job/windows_release_vs-integration_prtest/4219/consoleFull#9716893042d31e50d-1517-49fc-92b3-2ca637122019

      Roslyn.VisualStudio.IntegrationTests.CSharp.CSharpNavi",sharwell,33611
19761,Access violation in RoslynCodeAnalysisService32 reading from memory mapped file,"Access violation in RoslynCodeAnalysisService32 reading from memory mapped file **Version Used**: 15.3 preview 1

**Stack trace**

```
Application: ServiceHub.RoslynCodeAnalysisService32.exe
Framework Version: v4.0.30319
Description: The process wa",sharwell,20171
1985,[Portable PDB] Avoid dependencies on legacy PDB format in EE tests,"[Portable PDB] Avoid dependencies on legacy PDB format in EE tests Currently the tests are disabled. Search EE tests for the bug number.",tmat,8289
19863,[Perf] Optimize IsOrContainsAccessibleAttribute,"[Perf] Optimize IsOrContainsAccessibleAttribute the AbstractRecommendationService does a filter for which symbols should be included. Given this is called from ShouldIncludeSymbol, with this change we gain:
1. Fewer iterations, as an Attribute is a type",Neme12,25622
19878,Need to design how to represent failed conversion in tuple assignement,"Need to design how to represent failed conversion in tuple assignement This is a follow-up issue on https://github.com/dotnet/roslyn/pull/19679

How should we represent failed conversion in tuple assignment and how should it be surfaced through the sema",AlekseyTs,22703
1989,[Portable PDB] Support TypeSpecs in MetadataDecoder.ResolveSignatureTypeHandleOrThrow,"[Portable PDB] Support TypeSpecs in MetadataDecoder.ResolveSignatureTypeHandleOrThrow ",tmat,8289
19958,Extract method does not support by-ref pass-through,"Extract method does not support by-ref pass-through **Version Used**: 15.3

This is an extension of #19136.

**Steps to Reproduce**:

Attempt to use the Extract Method refactoring on the following code:

```csharp
public static int OtherMethod(re",sharwell,19945
19987,Incorrect IDE0004 (Cast is redundant) in pattern matching,"Incorrect IDE0004 (Cast is redundant) in pattern matching **Version Used**: 15.3 Preview 1

🔗 Originally reported by [Thomas Castiglione](https://developercommunity.visualstudio.com/users/21348/873dad1a-b02f-4f5a-8da9-37ef170c009b.html).

**Steps to",elijah6,20162
2,Update links in README.md with ported wiki content,"Update links in README.md with ported wiki content ",heejaechang,3247
20065,Previews for light bulbs leaks solutions,"Previews for light bulbs leaks solutions **Version Used**: 400238e370ef760e178dd7a9db790e5feae7f3fb

**Steps to Reproduce**:

1. Create a new console app.
2. Invoke removed unused usings on the top.
3. Wait for the preview to appear.
4. Dismiss the",mavasani,20096
20170,Dogfooding crash in memory mapped files,"Dogfooding crash in memory mapped files **Version Used**: 
VS 2017 Preview 15.3 P 2, + latest Roslyn signed VSIX: 2.3.06181101

**Steps to Reproduce**:

1. Had Roslyn.sln open, rebased my branch to get the latest changes from master (but there weren'",sharwell,20171
20338,BoundAnonymousObjectCreationExpression has no way to map arguments and declarations for error cases,BoundAnonymousObjectCreationExpression has no way to map arguments and declarations for error cases Arguments and Declarations of an anonymous object creation are stored as separate arrays of bound declarations and expressions in BoundAnonymousObjectCreat,mavasani,28005
20577,Compiler (csc) crashes with code of a nested recursive function and different scope access,"Compiler (csc) crashes with code of a nested recursive function and different scope access **Version Used**: 
2.2.0.61624
**Steps to Reproduce**:

1. Paste this code:
```
using System.Linq;

public class Program {
	public static void Main(string[",agocke,21367
20591,SymbolFilter parameter to AbstractNavigateToSearchService methods,"SymbolFilter parameter to AbstractNavigateToSearchService methods **Version Used**: 
0f658a492302a11277348d1fd1ef2e1d0a0e4130

**Expected Behavior**:
Being able to pass in a SymbolFilter parameter to pre-filter results before passing them to the calle",sharwell,27865
206,Proposal: Pattern matching and record types,"Proposal: Pattern matching and record types ### The spec has been moved

The specs for pattern matching and records have been moved to https://github.com/dotnet/roslyn/blob/features/patterns/docs/features/patterns.md and https://github.com/dotnet/roslyn",gafter,4882
20641,Pattern matching IL much larger than non-pattern matching equivalent,"Pattern matching IL much larger than non-pattern matching equivalent **Version Used**:
2.3.0.61814 (b7f611db)

**Steps to Reproduce**:
Compile the following program:
```C#
using System.Collections;
using System.Collections.Generic;

class Program",gafter,25739
21946,Quick-Fix for BC40003 is missing action to add 'Shadows' modifier,"Quick-Fix for BC40003 is missing action to add 'Shadows' modifier Drop this in a new console app.

``` VB.NET
Class Base
    Sub M()

    End Sub
End Class

Class Derived
    Inherits Base

    Sub M() ' <--- Invoke the light bulb on this line",06needhamt,22871
21948,'Add Overloads' Quick-Fix for BC40003 produces invalid code,"'Add Overloads' Quick-Fix for BC40003 produces invalid code **Version Used**: VS2017 RTM

**Steps to Reproduce**:

1. Drop this in a new console app.

``` VB.NET
Class Base
    Sub M()

    End Sub
End Class

Class Derived
    Inherits Base",06needhamt,22871
22066,Incorrect ArgumentKind for argument to query invocation,"Incorrect ArgumentKind for argument to query invocation Test `ImplicitSelectClause_IOperation` in QueryExpressions.vb
See https://github.com/dotnet/roslyn/pull/21356#issuecomment-325050215",AlekseyTs,22795
22289,ArgumentOutOfRangeException in CompletionService.GetCompletionsAsync,"ArgumentOutOfRangeException in CompletionService.GetCompletionsAsync **Version Used**: 
2.3.2

**Steps to Reproduce**:
Unfortunately I don't know how to isolate this. This is something I see in logs of my Roslyn-based project, and I wasn't able to rep",ashmind,39258
22342,Suggested names not provided for tuple elements in generic type arguments,"Suggested names not provided for tuple elements in generic type arguments **Version Used**: 15.4 Preview 2

**Steps to Reproduce**:

1. Type the following as a local variable declaration

    ```csharp
    Func<(Task task, CancellationToken cancell",MaStr11,22673
22385,Generate Property CodeAction should know about ref-readonly-ness,"Generate Property CodeAction should know about ref-readonly-ness After `in` is implemented at call-site, the IDE will be able to know if it was in a ref-readonly context or not, therefore, it can generate a property with that `RefKind`.
This means that `",OmarTawfik,22717
22472,Change ArgumentSyntax.RefOrOutKeyword to RefKindKeyword,"Change ArgumentSyntax.RefOrOutKeyword to RefKindKeyword And add overloads for compatibility.
Fixes #22441

This is an API change that reflects the presence of a new ref mode for arguments.

@dotnet/roslyn-compiler @AnthonyDGreen @jaredpar Please revi",OmarTawfik,22717
22486,Ensure correct syntax node is associated with matched BoundOmittedArgument,Ensure correct syntax node is associated with matched BoundOmittedArgument See unit test `DirectlyBindOmittedArgument_InvocationExpression` and the baseline operation tree for the test. Issue is explained here: https://github.com/dotnet/roslyn/pull/22444#,AlekseyTs,22795
22650,Unbounded SQLite instances/connections contributing to OOM failures,"Unbounded SQLite instances/connections contributing to OOM failures **Version Used**: 15.3

Currently we fail to bound the number of instances of the following types which are created at runtime:

* `SQLitePCL.sqlite3`
* `Microsoft.CodeAnalysis.SQLit",sharwell,22729
22653,Remove duplicate member symbol from EventReferenceExpression,Remove duplicate member symbol from EventReferenceExpression See https://github.com/dotnet/roslyn/pull/22243#discussion_r143185433,genlu,22678
22675,"Revert ""Remove duplicate member symbol from EventReferenceExpression""","Revert ""Remove duplicate member symbol from EventReferenceExpression"" Reverts dotnet/roslyn#22653

@jinujoseph",genlu,22678
22723,ContainedDocument can leak if exceptions are thrown,"ContainedDocument can leak if exceptions are thrown Underlying issue:

During the call to `CreateContainedLanguage`, a call is made to `AbstractProject.AddDocument`. This call adds the `ContainedDocument` to two sets. If the key already exists in the se",sharwell,22729
22736,IPropertyReferenceExpressions in IAnonymousObjectCreationExpression are missing a receiver,"IPropertyReferenceExpressions in IAnonymousObjectCreationExpression are missing a receiver ```
        <Fact>
        Public Sub AnonymousTypeFieldsReferences()
            Dim source = <![CDATA[
Module ModuleA
    Sub Test1()
        Dim v1 As Obje",mavasani,28005
22754,Naming style code fix does not insert underscores between words,"Naming style code fix does not insert underscores between words **Version Used**: 15.5 preview 1

**Steps to Reproduce**:

Create a style definition for a common test naming style.

1. Add an `.editorconfig` file with the following:

```ini
[*.cs",06needhamt,22831
22789,'langword' completion should not appear after typing <,"'langword' completion should not appear after typing < **Version Used**: 15.5 Preview 1

**Steps to Reproduce**:

1. In a documentation comment, type `<se`

**Expected Behavior**:

1. `see` is selected in the completion list
1. `sealed` is not av",sharwell,22791
22832,Naming style code fix does not insert underscores between uppercase words,Naming style code fix does not insert underscores between uppercase words Variant of #22754,06needhamt,22831
22884,"Initialize field from constructor parameter defaults to using ""this."", where it should default to field with prefixed underscore","Initialize field from constructor parameter defaults to using ""this."", where it should default to field with prefixed underscore **Steps to Reproduce**:

1. Ensure you don't have custom naming styles set in Visual Studio.
2. Add a constructor to some c",wachulski,28013
23043,UseNullPropagation codefix doesn't recognize `x is null ? null : x.y` pattern,"UseNullPropagation codefix doesn't recognize `x is null ? null : x.y` pattern Also, `ReferenceEquals(foo, null) ? null : foo.y`

```C#
        [Fact, Trait(Traits.Feature, Traits.Features.CodeActionsUseNullPropagation)]
        public async Task TestW",schovanec,23610
23115,Incorrect order of initializer operation nodes in anonymous object creation in query clause,"Incorrect order of initializer operation nodes in anonymous object creation in query clause See https://github.com/dotnet/roslyn/pull/23080/files#r150128874

Source:
```
using System.Collections.Generic;
using System.Linq;
 
 class ClassA
 {",mavasani,28005
23179,SourceModuleSymbol.ContainsExplicitDefinitionOfNoPiaLocalTypes forces expensive binding,"SourceModuleSymbol.ContainsExplicitDefinitionOfNoPiaLocalTypes forces expensive binding `SourceModuleSymbol.ContainsExplicitDefinitionOfNoPiaLocalTypes` forces all attributes to be bound, resulting in extreme performance and/or reliability problems when u",AlekseyTs,23505
23265,Improve the syntax error when a conditional expression used in an interpolated string,"Improve the syntax error when a conditional expression used in an interpolated string **Customer scenario**

When using a conditional expression `e1 ? e2 : e3` inside of an interpolated string `$""{e1 ? e2 : e3}""` the compiler interprets the colon as the",MaStr11,23587
23268,Covariant return types with respect to nullable reference types,"Covariant return types with respect to nullable reference types **Version Used**: Preview 11152017

**Steps to Reproduce**:

```csharp
abstract class A {
  public abstract object? GetData();
}

class B : A {
  public override object GetData() =>",agocke,34718
23323,Would like code fix that fixes conditional expression in an interpolation,"Would like code fix that fixes conditional expression in an interpolation See https://github.com/dotnet/roslyn/issues/12214#issuecomment-345451129

When an interpolation in an interpolated string contains a conditional expression, the colon is considere",MaStr11,23587
23378,Using __arglist with `out var` causes Visual Studio to crash,"Using __arglist with `out var` causes Visual Studio to crash **Version Used**: 15.4.4 and 15.5.0 Preview 4

**Steps to Reproduce**:

1. Create a new console application targeting .NET Framework v4.7.1
2. Replace the entire contents of `Program.cs` wi",AlekseyTs,23570
